File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210204_100739
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"28,602","26,843","27,659","28,414","27,139","29,433","29,706","30,182","28,822","30,825","33,071","31,020","27,867","25,737","27,461","28,553","26,145","29,404","28,867","28,400","28,694","28,875","27,682","28,818","28,163","25,467","26,192","25,833","25,369","26,847","25,406","25,647","25,331","27,235","27,224","29,886","26,547","23,535","25,235","26,480","24,982","26,098","25,624","24,959","24,969","28,798","27,853","26,729","30,392","24,318","25,316","25,627","24,855","25,506","24,118","24,933","25,825","27,271","27,259","27,875","28,447","24,712","25,694","25,994","25,996","25,373","24,684","25,512","25,312","27,943","27,547","28,396","30,688","26,296","28,006","27,122","26,988","25,945","27,016","26,612","28,059","28,610","28,802","29,798","28,445","28,449","28,955","28,692","33,871","28,949","30,012","32,412","29,116","31,716","31,129","31,500"
20,"28,318","26,733","27,551","28,198","27,512","29,365","28,973","30,153","28,759","30,565","33,233","30,963","27,394","25,839","26,727","27,149","26,475","29,637","28,400","28,716","28,802","28,214","27,720","28,594","27,382","25,741","26,337","25,855","25,514","26,825","25,163","25,712","25,286","27,457","27,567","29,749","26,496","23,759","25,567","26,067","25,012","26,198","25,663","25,382","24,963","28,247","27,445","27,296","30,371","24,369","25,473","25,545","24,629","25,582","24,502","25,408","25,902","27,094","27,739","28,831","28,702","25,090","25,767","25,882","25,851","25,337","24,737","25,669","25,894","27,718","27,235","28,967","29,882","26,431","27,590","27,018","26,729","26,318","27,292","26,967","28,067","28,461","28,573","29,192","28,727","27,578","28,649","28,390","31,659","29,141","29,955","32,359","29,339","31,398","31,237","31,602"
40,"28,410","26,747","27,551","28,263","27,388","29,339","29,088","30,239","28,700","30,465","33,212","30,980","27,382","25,671","26,761","27,547","26,375","29,635","28,488","28,392","28,833","28,390","27,686","28,571","27,376","25,725","26,125","25,876","25,522","26,892","25,069","25,753","25,324","27,337","27,261","29,671","26,431","23,612","25,473","26,169","25,018","26,082","25,735","25,445","25,004","28,108","27,441","27,584","30,516","24,282","25,555","25,390","24,633","25,604","24,704","25,208","25,808","27,016","27,982","28,841","28,469","25,143","25,563","25,680","25,576","25,435","24,831","25,680","26,051","27,533","27,390","28,480","29,576","26,659","27,484","26,855","26,925","26,155","27,508","26,976","28,073","28,424","28,539","28,980","27,959","27,910","28,582","28,320","31,441","29,169","30,033","32,361","29,482","31,606","31,276","31,537"
60,"28,165","26,555","27,402","28,290","27,167","29,253","28,984","29,888","28,714","30,382","32,929","30,824","27,210","25,306","27,012","26,871","26,498","29,520","28,167","28,280","28,757","28,355","27,696","28,445","27,486","25,463","26,090","25,745","25,449","26,761","24,990","25,349","25,263","27,324","27,118","29,578","26,329","23,516","25,496","26,022","25,039","26,180","25,594","25,141","24,894","28,298","27,498","27,065","29,804","24,122","25,484","25,278","24,571","25,539","24,614","25,104","25,800","26,896","27,704","28,741","28,498","25,175","25,612","25,563","25,655","25,153","24,678","25,594","26,000","27,467","27,224","28,145","29,531","26,433","27,382","26,918","26,755","26,157","27,171","26,722","27,867","28,480","28,373","29,045","27,869","27,580","28,535","28,155","31,427","29,137","29,973","32,127","29,537","31,802","30,886","31,467"
80,"28,447","26,837","27,625","28,712","27,169","29,453","29,480","29,916","28,816","30,725","33,486","31,533","27,669","25,469","27,392","27,196","26,427","29,861","28,575","28,480","28,708","28,755","28,355","28,775","28,004","25,580","26,161","25,880","25,553","27,224","25,416","25,559","25,371","27,700","27,606","30,065","26,537","23,596","25,557","26,322","25,122","26,124","25,798","25,265","25,120","29,049","28,051","27,376","30,214","24,124","25,524","25,610","24,769","25,627","24,676","25,322","25,963","27,327","27,725","28,896","28,582","25,263","25,692","25,829","25,773","25,216","24,841","25,716","26,131","27,743","27,763","28,604","30,073","26,435","27,704","27,012","26,904","26,308","27,429","27,029","28,014","28,776","28,690","29,012","28,100","27,639","28,929","28,404","31,612","29,298","30,284","32,282","29,692","32,465","31,218","31,565"
100,"28,418","26,624","27,525","28,698","27,010","29,625","29,804","29,698","28,602","30,931","33,818","31,976","27,869","25,353","27,463","27,131","26,175","29,920","28,725","28,198","28,384","28,784","28,682","28,798","28,400","25,543","26,027","25,924","25,284","27,288","25,363","25,355","25,382","27,702","27,565","30,167","26,745","23,420","25,376","26,380","25,057","26,063","25,824","25,088","24,955","29,661","28,353","27,169","30,294","23,951","25,267","25,276","24,647","25,578","24,445","25,110","25,947","27,384","27,604","28,588","28,400","24,994","25,492","25,680","25,765","25,157","24,763","25,524","25,688","27,749","27,892","28,429","30,112","26,194","27,557","26,784","26,727","26,022","27,365","26,747","27,706","28,906","28,525","28,994","27,751","27,673","28,737","28,261","31,537","29,206","30,255","32,231","29,333","32,814","30,875","31,298"
120,"28,827","27,024","27,927","29,437","27,300","30,261","30,776","30,216","29,004","31,861","34,780","33,171","28,608","25,604","28,214","27,751","26,484","30,649","29,398","28,394","28,749","29,539","29,514","29,125","29,420","25,906","26,249","26,398","25,588","28,006","26,039","25,606","25,580","28,337","28,451","31,016","27,094","23,649","25,743","26,965","25,435","26,602","26,255","25,425","25,284","31,073","29,245","27,708","30,696","24,043","25,555","25,702","24,988","25,957","24,694","25,345","26,465","28,061","27,943","29,106","28,847","25,241","25,790","25,884","26,151","25,398","25,008","25,682","26,096","28,345","28,818","28,663","30,749","26,484","27,922","27,075","27,186","26,337","27,453","27,061","28,061","29,659","28,788","29,357","28,020","27,829","29,078","28,778","32,022","29,565","31,012","32,888","29,520","34,210","31,239","31,684"
140,"29,235","27,263","28,106","29,969","27,304","30,839","31,600","30,390","29,163","32,690","35,371","34,229","29,298","25,743","28,565","28,127","26,429","31,104","29,961","28,361","28,778","30,033","30,447","29,310","30,457","25,776","26,484","26,776","25,545","28,539","26,402","25,612","25,678","28,686","28,798","31,490","27,633","23,620","25,671","27,459","25,645","26,875","26,449","25,376","25,304","32,178","30,149","27,851","30,900","23,947","25,586","25,812","25,116","26,027","24,622","25,290","26,702","28,492","27,976","29,057","29,029","25,159","25,847","25,902","26,208","25,482","25,116","25,692","26,022","28,669","29,435","28,749","31,394","26,514","28,157","27,073","27,386","26,547","27,518","27,273","27,980","30,145","28,898","29,512","27,984","27,976","29,371","28,908","32,010","29,818","31,327","33,098","29,755","35,143","31,316","31,635"
160,"29,508","27,604","28,457","30,639","27,367","31,700","32,902","30,478","29,484","33,965","36,367","35,796","29,992","25,959","29,145","28,763","26,449","31,592","30,608","28,398","28,953","30,880","31,537","29,661","31,449","26,010","26,596","27,261","25,667","29,304","26,961","25,651","25,802","29,141","29,329","32,341","28,124","23,731","25,788","28,071","25,812","27,488","26,757","25,408","25,339","33,684","31,108","28,151","31,263","23,967","25,735","26,129","25,443","26,269","24,592","25,363","26,986","29,096","28,273","29,267","29,116","25,124","25,975","26,061","26,612","25,765","25,422","25,820","26,216","29,284","30,275","28,755","32,076","26,527","28,522","27,194","27,739","26,639","27,551","27,292","28,073","30,835","28,980","29,594","27,986","28,151","29,696","29,184","32,367","29,941","32,051","33,700","29,859","36,465","31,631","31,767"
180,"29,973","27,965","28,757","31,400","27,361","32,455","34,114","30,643","29,584","35,390","37,367","37,292","30,953","26,059","29,469","29,249","26,598","32,263","31,351","28,502","29,000","31,757","32,625","29,933","32,651","25,998","26,653","27,784","25,531","29,835","27,478","25,659","25,955","29,749","29,855","32,924","28,761","23,702","25,727","28,798","26,025","27,898","27,063","25,453","25,353","35,178","32,294","28,445","31,963","23,888","25,753","26,384","25,631","26,573","24,706","25,255","27,371","29,745","28,563","29,216","29,276","25,096","26,035","26,067","26,829","25,845","25,537","25,888","26,076","29,718","30,969","28,998","33,075","26,580","28,737","27,204","27,963","26,639","27,639","27,451","28,125","31,453","29,035","29,704","27,967","28,339","30,192","29,484","32,514","30,194","32,549","33,878","30,041","37,525","31,814","31,714"
