File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201208_133719
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"28,086","28,592","28,137","27,825","28,508","28,369","29,996","30,865","32,033","30,655","28,847","32,053","29,073","29,241","29,459","31,694","28,590","27,835","29,761","28,906","39,282","29,229","28,227","27,273","26,469","26,473","26,384","27,904","27,039","27,141","26,263","27,520","33,314","26,594","26,898","27,798","27,316","26,269","27,333","27,431","27,114","31,422","26,363","27,112","29,378","27,457","27,427","28,198","27,427","26,663","28,886","32,749","29,798","27,349","27,180","26,667","27,890","27,278","28,659","28,722","27,800","26,537","27,224","27,190","28,569","27,800","26,592","27,353","27,055","27,380","27,606","27,518","31,392","30,161","29,396","28,241","31,716","27,727","28,971","29,527","29,004","30,798","33,002","34,559","28,108","30,139","35,963","30,365","31,592","30,357","30,955","32,057","30,961","31,222","34,825","30,349"
20,"28,249","29,241","29,127","27,520","29,306","29,427","30,110","32,363","31,424","29,596","29,261","32,857","29,629","29,716","29,282","31,288","27,824","26,718","27,298","28,006","41,141","29,727","28,965","27,404","26,322","26,400","27,476","28,241","26,435","29,804","26,524","26,610","35,569","26,308","27,704","27,582","26,663","26,573","27,767","28,476","26,575","32,231","27,388","26,724","26,500","28,698","27,990","28,390","27,855","25,449","28,165","28,394","30,998","29,551","26,480","28,496","28,680","27,702","29,394","28,788","28,388","26,869","27,229","27,437","26,943","29,288","26,137","28,594","29,225","27,786","27,096","27,110","32,096","30,175","30,100","27,665","32,347","29,902","29,186","29,716","29,631","31,467","33,235","35,392","28,502","30,355","37,039","30,396","31,543","29,614","33,808","32,012","30,714","30,937","35,976","29,706"
40,"28,178","29,300","27,976","27,741","29,088","30,443","29,465","31,247","32,873","31,378","30,676","33,808","30,849","29,020","31,937","29,071","28,400","27,302","28,986","27,976","38,257","29,973","29,320","27,647","26,373","25,949","27,075","28,114","27,851","26,598","26,763","26,853","34,220","26,892","27,294","28,263","26,273","26,996","27,161","27,033","28,235","30,031","26,429","27,300","26,865","26,994","28,369","28,720","28,835","26,473","28,055","29,016","27,794","27,757","28,620","26,904","26,990","27,549","31,088","29,592","28,410","26,845","27,749","26,961","27,757","27,231","27,408","27,214","27,273","29,043","27,682","27,416","32,331","30,645","30,227","27,986","32,382","27,831","29,765","29,176","29,037","33,386","33,678","35,718","28,443","30,531","38,173","31,196","32,535","30,122","32,410","34,141","30,304","31,386","35,900","30,212"
60,"28,431","29,459","28,239","27,759","29,688","28,410","29,484","31,684","33,345","30,445","31,084","33,624","30,263","27,245","30,057","29,749","28,053","27,712","27,282","28,694","36,586","30,167","29,753","27,953","27,243","26,039","26,929","28,575","26,227","26,637","25,304","26,218","34,227","26,751","27,337","28,327","26,216","26,765","27,396","26,608","26,320","28,378","27,651","26,971","26,908","27,845","28,861","30,125","28,175","25,906","27,753","27,429","27,455","28,331","26,471","27,067","27,208","28,325","30,351","30,188","28,318","26,737","28,218","27,945","27,863","27,284","26,194","27,039","27,692","28,620","27,794","27,663","32,771","31,620","29,612","28,325","29,945","28,175","28,129","29,569","28,171","31,833","33,827","36,420","27,745","30,478","37,527","31,416","32,020","30,192","31,106","32,831","30,678","31,798","36,296","30,786"
80,"28,973","29,294","29,557","28,002","30,202","29,773","29,931","32,149","32,357","31,612","30,837","34,878","30,912","27,996","28,569","30,075","28,022","27,810","29,422","30,002","37,610","31,053","30,620","28,978","27,471","26,616","28,243","28,616","27,641","27,694","26,380","26,608","34,643","27,663","27,782","29,241","26,794","27,502","27,929","28,359","27,616","28,224","27,035","27,416","27,251","28,584","29,469","29,618","29,202","26,404","27,502","27,659","27,445","28,808","26,951","27,394","27,869","28,825","30,796","30,533","28,922","27,427","27,816","28,451","27,298","28,100","27,022","28,376","28,851","28,167","28,565","28,392","33,675","31,008","30,951","28,753","30,882","27,978","29,131","30,504","28,780","32,331","33,814","37,257","27,822","31,127","38,155","31,053","32,284","31,141","31,190","32,986","30,873","32,194","37,241","31,790"
100,"29,914","29,967","30,367","28,206","30,578","29,775","30,843","32,539","33,780","32,251","32,176","36,061","31,024","29,435","28,575","30,643","29,161","28,673","28,516","29,545","37,361","32,180","31,925","30,586","28,122","27,447","28,290","29,376","27,547","27,073","26,227","27,686","35,118","28,224","28,620","30,496","27,404","27,506","28,682","27,459","27,445","27,788","26,927","27,667","28,437","28,596","29,288","30,875","30,410","26,943","28,490","28,345","28,012","29,157","28,349","27,763","28,400","29,186","32,073","31,378","29,906","27,953","28,255","28,492","27,939","27,961","27,004","28,304","28,561","29,033","29,249","29,578","34,547","31,535","31,033","29,598","31,316","28,433","29,535","31,092","29,604","32,937","34,353","38,457","27,851","31,951","38,267","31,157","32,239","30,949","32,076","34,251","31,625","33,175","38,675","33,408"
120,"31,604","31,204","32,539","29,233","32,155","31,451","32,104","34,057","35,575","34,296","34,288","38,178","33,116","31,608","29,641","31,541","30,910","30,010","30,410","31,273","38,616","34,569","34,394","33,724","29,969","28,659","29,743","31,165","29,206","28,594","27,541","29,027","34,204","29,863","29,571","32,824","29,208","28,522","30,049","28,706","28,535","29,104","28,459","28,910","29,714","30,325","30,833","32,892","32,453","28,245","29,861","29,769","29,300","30,620","29,357","29,206","30,118","31,108","33,314","33,492","31,918","29,892","30,096","29,453","29,114","29,492","27,898","29,498","30,425","30,614","31,190","31,710","36,227","33,086","32,410","31,051","32,306","29,502","30,837","32,663","30,835","34,424","35,343","40,316","27,878","34,214","39,706","32,882","33,755","32,690","34,118","35,469","33,755","35,322","40,190","36,406"
140,"34,855","33,445","37,151","31,108","35,275","34,484","35,575","37,292","40,449","37,743","38,896","42,271","37,114","35,265","31,253","33,429","33,759","32,851","33,637","34,214","41,027","38,655","38,592","38,792","33,208","31,484","32,480","34,598","31,875","30,375","29,643","31,243","37,104","32,398","31,406","36,975","32,088","30,788","32,871","31,275","30,788","30,694","30,629","30,839","32,743","33,302","33,641","36,884","36,769","30,037","32,449","31,880","31,688","33,306","32,304","32,478","32,949","35,088","37,133","36,718","35,761","33,310","32,580","32,414","31,096","32,024","29,637","32,129","33,314","33,565","34,276","35,557","39,312","35,751","34,657","33,324","34,488","31,339","33,512","35,412","33,088","36,363","37,171","43,318","28,088","37,237","42,082","35,610","36,067","35,110","37,773","38,490","36,425","38,604","44,402","41,086"
160,"39,353","36,559","42,973","33,588","39,318","38,578","40,212","41,243","46,318","42,735","44,359","47,388","42,890","40,973","33,535","35,318","38,418","36,716","38,375","38,247","45,208","44,033","44,335","45,012","37,961","35,412","36,176","39,780","36,433","33,145","32,976","34,653","40,969","36,414","33,584","43,006","36,133","33,706","36,361","34,716","34,841","33,882","33,724","34,088","36,314","37,661","37,700","42,047","42,457","32,092","35,951","34,900","35,804","37,373","36,186","37,237","37,235","40,414","41,414","41,776","41,084","38,037","36,273","36,602","34,739","36,535","32,425","36,680","37,833","38,027","38,931","41,043","43,882","39,590","38,490","36,929","37,749","34,161","37,820","39,522","36,786","40,202","39,575","47,271","27,676","42,120","44,800","40,245","39,086","39,290","43,716","43,273","41,182","43,249","48,873","47,865"
180,"45,563","43,327","49,433","38,333","46,322","45,122","46,310","47,300","53,006","48,275","50,459","52,910","49,473","47,325","37,931","39,067","45,841","43,247","44,833","45,325","50,331","50,143","50,651","51,390","44,820","42,339","43,869","45,882","43,620","38,637","38,388","41,559","46,800","42,690","37,153","49,433","42,504","39,131","42,939","40,727","41,304","39,829","39,227","40,380","43,053","44,514","44,249","47,922","49,047","35,425","43,137","40,802","42,802","44,531","43,951","44,643","44,747","47,302","47,065","48,633","47,200","45,480","42,765","43,527","40,865","43,984","37,084","43,973","44,471","44,388","45,514","47,516","49,731","45,559","44,873","42,839","43,671","39,208","44,794","44,941","42,716","46,129","44,357","53,320","27,761","48,157","49,673","46,351","43,861","46,025","49,708","49,437","46,792","49,525","53,469","54,196"
200,"51,812","49,073","57,161","42,614","52,567","51,059","54,837","54,800","62,241","55,075","59,731","62,294","58,300","55,906","43,308","44,602","52,361","49,422","51,967","52,522","56,924","58,304","59,792","59,635","52,257","48,253","49,155","52,486","49,392","45,439","45,122","48,059","54,133","49,086","41,486","57,510","48,708","43,618","48,275","47,204","47,739","45,639","45,622","45,924","48,500","51,665","50,584","56,453","57,124","38,871","49,116","46,988","49,686","50,498","49,367","50,427","51,457","54,888","54,616","57,743","53,696","51,461","48,229","48,888","46,675","49,824","43,580","49,878","51,133","51,212","53,112","56,294","57,890","50,376","50,053","49,416","49,425","45,386","49,863","52,182","49,410","52,380","51,084","61,143","27,863","56,859","56,955","54,273","49,016","52,169","57,357","57,537","55,120","57,778","61,373","64,641"
220,"61,627","58,286","68,553","49,325","61,704","58,510","65,937","64,598","70,782","64,394","68,718","70,306","68,180","66,359","50,890","49,873","63,580","58,398","61,965","62,390","66,624","67,404","69,624","70,178","63,298","58,461","58,539","62,100","58,590","54,355","52,880","55,982","65,051","58,682","45,888","67,808","58,594","50,988","55,571","55,984","57,055","55,494","54,251","53,739","55,720","62,416","60,769","67,245","67,582","43,939","58,931","56,863","59,876","58,633","58,392","59,371","61,853","65,569","64,133","68,873","62,576","61,139","56,606","57,206","55,631","58,355","51,212","58,900","60,557","61,178","65,139","66,337","67,884","58,569","59,790","59,116","59,447","52,947","59,622","62,053","59,076","62,508","56,620","70,369","27,651","67,431","66,916","65,184","57,090","62,867","67,343","67,576","65,339","68,031","68,639","72,710"
240,"70,886","68,943","75,778","58,786","70,994","66,722","73,255","72,102","79,249","71,727","76,241","77,622","75,892","74,020","60,051","57,780","71,253","67,278","70,229","70,122","73,908","74,678","77,375","76,388","70,151","68,171","68,853","70,327","68,624","64,065","63,406","66,565","71,457","67,841","50,747","74,294","68,157","60,588","65,090","65,776","66,663","64,420","64,157","64,725","65,667","70,488","68,165","73,971","74,498","51,016","70,506","67,688","69,851","68,531","69,367","69,814","69,982","73,192","70,796","76,439","71,706","69,694","66,498","67,722","64,925","68,376","62,527","68,016","68,645","68,129","72,516","74,055","75,273","67,592","68,886","69,214","67,918","62,267","67,933","69,990","68,320","70,024","66,308","78,808","27,765","75,041","74,149","73,388","63,996","70,847","73,978","74,882","73,355","75,794","76,159","82,082"
260,"78,114","75,918","83,371","65,641","78,267","72,233","82,127","81,851","88,500","78,318","84,855","86,325","84,525","82,292","70,635","66,420","81,245","75,151","78,118","78,071","81,237","81,927","85,704","83,669","79,243","76,382","76,720","77,382","76,194","72,312","70,714","73,822","79,135","76,453","56,578","82,747","75,041","68,088","72,608","73,551","74,747","72,102","71,980","71,437","72,280","79,549","76,673","82,171","83,184","61,496","78,182","75,304","78,365","74,516","76,098","76,361","78,641","81,418","79,012","85,445","78,535","77,125","73,227","74,273","72,978","75,455","69,518","75,422","77,224","76,237","82,286","84,386","83,514","73,516","76,963","77,267","77,649","69,831","76,108","77,988","76,094","78,035","73,027","85,949","27,904","84,355","83,353","82,996","72,892","79,804","81,520","84,284","82,596","84,322","84,235","90,116"
280,"85,280","84,255","90,537","73,949","85,361","79,576","90,575","89,737","96,808","84,845","93,816","95,265","93,743","91,324","77,614","74,196","89,918","82,439","86,465","84,853","89,145","90,253","93,867","90,302","88,018","84,143","84,916","83,137","82,863","81,645","78,876","81,943","87,059","83,667","63,427","89,937","81,798","75,402","79,078","81,022","82,851","81,320","80,516","81,147","80,145","88,580","85,831","89,514","90,631","70,100","86,100","83,804","86,763","80,824","83,953","82,978","87,022","89,443","87,000","94,253","85,253","83,610","81,025","81,824","80,853","82,688","78,243","82,561","84,843","84,167","90,941","93,943","91,239","81,167","85,576","84,645","86,408","77,859","82,822","85,247","84,733","86,116","81,427","93,988","27,765","93,127","92,124","92,108","81,884","88,302","90,037","91,859","91,733","93,112","92,018","97,980"
300,"93,814","92,271","98,992","81,892","93,269","86,992","98,761","97,955","104,690","91,010","101,500","103,235","102,296","99,645","84,137","79,131","99,253","91,349","93,880","93,694","97,339","98,380","101,508","96,733","97,341","92,561","93,816","89,400","89,992","90,882","86,857","90,135","95,496","91,524","70,937","98,212","89,249","82,667","85,533","89,557","90,927","90,533","89,202","89,235","87,596","96,718","94,653","97,414","98,924","78,741","93,537","91,735","94,884","86,047","90,092","90,012","95,031","97,443","94,641","101,433","92,510","90,359","89,851","88,482","89,553","90,535","86,316","88,894","92,351","92,737","99,725","103,590","99,933","89,208","94,949","93,478","95,988","86,480","91,351","93,555","94,635","94,749","90,196","102,590","27,608","101,778","101,788","100,914","90,767","97,365","97,767","100,757","99,686","101,861","99,861","105,667"
