File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220601_140545
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,38.022,41.880,34.043,49.506,35.714,36.139,31.155,34.949,34.498,33.412,33.010,41.406,37.320,36.976,33.984,33.596,32.718,33.425,34.471,33.443,32.676,32.112,30.682,35.953,37.300,38.986,32.100,33.106,30.298,30.669,31.931,30.576,36.300,32.549,54.159,55.288,34.112,52.271,35.310,33.888,33.165,32.735,31.365,33.555,40.871,32.402,29.288,32.314,39.718,38.114,38.269,34.682,33.596,33.235,34.176,30.431,50.539,32.378,46.661,53.278,39.157,38.073,48.688,34.933,36.218,32.461,40.998,30.849,32.275,31.018,43.804,34.327,39.449,34.788,37.594,63.253,84.276,72.935,48.886,38.253,37.835,33.233,33.929,37.980,91.080,36.722,35.124,84.606,34.857,34.059,82.631,52.525,47.627,36.841,44.496,37.084,,mtp01_20220601_140545.bmp
20,36.833,41.961,34.678,49.039,35.982,36.224,31.275,34.743,34.863,33.798,33.053,42.398,36.949,37.151,34.325,33.694,32.898,34.684,34.163,33.259,32.749,31.398,30.398,35.831,36.459,38.961,32.365,33.267,30.408,30.569,31.059,30.975,36.686,33.012,54.939,55.025,34.092,52.361,34.669,34.141,33.825,32.882,32.749,33.904,40.667,34.176,29.082,32.025,39.953,38.845,37.859,33.898,34.229,33.635,33.145,31.347,50.810,32.008,44.996,54.280,38.125,37.333,48.575,34.908,35.151,33.010,42.402,31.075,31.402,31.031,43.959,34.620,39.455,34.655,37.733,63.041,82.896,72.120,48.384,37.237,37.786,33.359,33.308,38.186,90.657,38.006,35.859,85.098,35.265,34.884,82.894,53.416,47.812,37.414,45.718,37.029,,mtp01_20220601_142548.bmp
40,37.967,42.708,35.133,52.273,37.137,36.641,31.633,36.008,35.680,34.122,33.684,45.008,37.627,38.539,34.792,34.369,33.490,34.227,34.790,33.586,33.076,31.720,30.943,35.825,37.171,40.041,33.388,34.327,30.904,31.133,31.082,31.567,36.527,33.041,55.863,55.886,34.496,53.565,35.431,33.869,34.055,32.496,33.014,34.563,41.006,33.798,29.518,33.025,40.482,38.410,38.688,34.073,34.235,33.396,32.953,32.298,51.465,32.537,48.155,55.661,38.484,38.224,48.973,35.100,35.412,33.135,41.845,32.302,31.465,31.435,45.796,35.116,40.651,35.084,38.267,64.939,87.024,72.782,50.196,38.104,38.608,34.543,33.867,39.124,94.233,37.941,35.912,87.218,36.025,34.961,85.037,54.349,48.992,38.286,46.176,37.835,,mtp01_20220601_144549.bmp
60,38.988,43.614,36.569,52.484,38.057,38.004,31.498,37.029,36.900,35.524,35.112,46.980,39.241,40.761,35.629,34.973,34.847,35.310,36.045,34.680,34.098,32.773,32.182,37.394,38.912,41.914,34.545,36.100,31.900,32.045,31.353,32.282,37.418,34.169,56.678,58.363,35.800,55.210,36.516,35.006,35.494,32.682,33.194,34.871,42.259,35.331,30.269,34.216,41.602,39.798,40.004,35.437,35.294,34.480,34.182,33.312,53.018,33.445,49.316,57.351,39.673,39.633,52.165,36.216,36.125,34.163,42.818,32.902,32.494,32.420,46.157,36.006,42.343,36.304,39.400,67.253,88.912,73.829,50.480,39.055,39.239,34.865,35.088,40.169,95.676,39.143,37.206,89.376,36.673,36.100,87.151,56.080,50.143,39.314,48.063,38.429,,mtp01_20220601_150548.bmp
81,41.402,44.937,42.790,42.494,38.763,37.120,32.518,39.963,39.014,34.398,36.739,49.686,40.325,42.665,36.022,36.255,37.657,38.480,39.327,36.761,35.763,34.118,34.445,38.420,42.376,42.473,37.080,38.559,34.161,34.061,31.902,33.588,35.233,34.929,33.596,49.965,37.659,37.745,36.510,37.096,35.355,33.478,34.737,33.280,34.512,35.084,31.043,35.504,40.090,36.722,38.731,38.024,36.935,37.173,36.790,35.516,33.698,33.671,31.308,33.304,39.206,37.255,36.818,37.114,35.969,37.265,37.157,34.769,34.904,34.424,33.471,34.639,43.863,39.500,41.700,39.131,38.129,36.247,37.355,37.061,38.582,35.249,38.269,43.165,95.390,40.853,41.443,46.624,43.453,42.304,50.473,57.047,52.216,42.324,44.884,38.122,,mtp01_20220601_152643.bmp
101,44.492,47.957,45.782,43.831,41.751,40.353,32.216,42.378,42.025,36.498,39.047,51.831,43.273,47.647,37.835,38.510,41.029,40.873,42.165,39.451,38.833,36.792,37.312,41.167,45.137,46.071,39.953,43.137,36.796,36.298,32.467,36.241,37.839,38.233,35.508,53.714,40.612,39.665,39.118,39.414,38.424,34.690,37.000,36.345,37.559,38.604,33.031,39.676,42.796,38.673,42.816,41.137,40.620,40.757,40.204,38.806,36.384,36.314,33.694,36.253,41.955,40.076,39.108,40.137,38.451,40.094,39.894,37.871,37.824,37.349,36.702,37.251,48.012,42.516,44.790,42.569,40.808,38.982,40.455,40.120,41.065,37.680,41.122,47.110,94.871,44.037,44.675,49.655,45.018,44.425,53.200,60.388,54.441,45.639,47.635,35.451,,mtp01_20220601_154642.bmp
121,50.404,53.680,51.608,45.933,47.380,45.714,32.492,47.749,48.457,41.143,43.706,56.480,49.425,55.902,42.208,42.610,46.378,45.394,47.359,43.904,44.257,41.453,43.210,45.457,51.561,53.004,45.816,50.396,42.088,41.137,33.329,40.978,42.733,43.684,37.920,59.055,46.080,44.141,44.261,44.233,42.667,29.757,41.929,41.600,42.502,43.782,37.531,46.167,49.588,42.049,49.894,47.806,46.867,46.541,46.076,45.241,41.006,41.906,38.502,41.424,47.639,46.014,43.539,45.349,43.304,45.414,45.459,43.341,42.184,43.200,43.288,42.622,56.331,47.014,50.892,48.678,46.078,44.063,46.253,46.257,46.822,42.308,45.637,54.853,96.480,50.325,52.812,57.563,48.547,49.876,58.725,66.802,60.957,52.973,51.704,34.698,,mtp01_20220601_160642.bmp
141,56.263,60.506,58.059,49.075,53.110,49.722,32.478,53.927,53.831,46.420,49.008,60.788,57.573,64.884,48.282,49.629,53.994,52.551,53.435,51.092,49.927,47.843,47.673,51.165,59.951,59.908,52.627,55.953,49.747,48.875,34.459,47.557,48.990,50.725,42.129,65.312,54.020,50.994,52.349,52.398,50.627,30.894,49.316,48.898,49.549,49.680,43.243,52.810,59.041,45.496,60.659,57.263,56.069,52.576,52.429,49.902,47.773,48.771,43.490,48.914,55.304,53.675,50.808,53.047,51.086,52.455,53.320,48.929,48.469,51.363,48.922,49.325,64.365,52.435,59.867,54.755,53.524,50.941,52.835,51.222,54.606,48.275,52.071,57.308,96.933,57.563,57.216,61.131,54.022,57.594,65.080,69.957,64.910,55.973,56.320,34.406,,mtp01_20220601_162643.bmp
161,61.910,64.625,63.820,50.927,58.245,49.159,32.200,57.849,55.386,50.455,53.931,64.976,62.904,72.102,52.675,54.902,57.443,56.555,60.194,54.722,55.649,51.622,50.069,54.584,64.410,66.873,58.714,63.165,53.290,53.933,34.963,53.239,53.512,54.722,44.757,66.867,61.818,54.990,58.727,57.557,56.490,28.502,55.002,51.453,55.788,53.267,47.078,55.098,60.416,49.747,61.914,62.565,61.433,61.073,56.894,53.943,52.143,51.902,44.000,51.010,60.547,59.861,54.443,58.124,56.222,59.582,60.227,54.939,54.306,51.975,49.639,54.000,69.367,57.716,58.808,65.555,60.322,56.447,58.886,59.357,56.106,55.175,56.500,59.653,95.624,59.980,57.796,63.618,56.741,61.996,64.629,69.916,66.255,57.471,58.655,34.565,,mtp01_20220601_164643.bmp
181,68.141,70.388,68.976,55.198,64.196,51.261,32.516,61.559,59.137,54.637,58.873,70.443,68.200,80.000,58.633,60.745,60.712,61.857,68.294,61.439,62.639,57.827,54.327,56.963,71.043,77.041,65.557,73.606,57.755,60.139,36.314,57.216,60.147,59.951,49.271,70.647,67.833,62.802,63.302,63.486,63.363,28.696,61.092,54.704,62.829,61.186,51.339,59.910,64.449,55.698,68.290,68.188,68.047,68.392,61.586,57.004,57.376,56.616,46.451,54.882,71.041,66.743,59.347,62.420,64.371,65.290,66.608,59.049,60.594,56.853,54.212,58.741,75.761,62.775,62.782,72.282,64.778,61.880,65.067,64.639,61.476,60.182,67.482,65.110,96.163,65.073,62.141,67.867,59.602,66.904,66.680,72.827,68.827,62.349,61.675,34.414,,mtp01_20220601_170642.bmp
