File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220323_160408
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,27.834,30.178,30.016,30.815,31.159,30.554,30.978,31.994,32.150,32.363,32.592,30.889,29.057,30.057,30.076,29.828,30.882,30.131,32.252,32.745,31.038,31.462,30.841,29.096,27.357,28.796,30.000,29.675,28.338,32.653,32.385,30.045,31.850,30.239,30.274,28.650,27.854,29.252,30.484,29.959,34.487,44.443,43.818,35.433,37.354,32.293,31.936,29.006,27.312,29.809,30.646,35.834,36.433,56.338,53.968,49.038,40.535,34.653,30.013,28.672,28.994,29.675,31.596,38.583,49.156,55.803,45.525,46.207,42.943,33.392,31.280,30.812,28.656,29.459,31.124,30.494,35.452,37.258,35.968,35.131,32.373,33.140,32.586,30.229,26.981,30.271,30.554,30.994,30.006,32.194,30.220,31.127,31.561,31.994,31.911,28.197,,mtp01_20220323_160408.bmp
20,27.962,30.016,30.105,30.780,31.350,30.713,31.194,32.500,32.924,32.417,31.959,30.962,28.392,29.108,29.930,29.172,29.984,30.105,30.994,32.086,31.401,31.643,31.016,28.379,27.277,28.834,30.596,30.678,28.127,29.468,29.341,28.975,31.137,30.535,30.930,28.704,27.662,28.398,30.334,29.073,28.258,28.433,30.006,29.930,29.277,29.971,32.271,29.312,26.914,29.299,30.822,29.713,29.025,29.064,30.392,29.924,30.210,32.911,30.350,28.118,28.854,29.898,31.892,30.545,29.701,28.723,28.930,29.561,30.691,30.245,31.338,30.255,29.070,29.162,30.404,30.019,30.818,30.468,30.360,29.446,30.000,31.857,31.685,29.325,27.006,29.745,29.920,30.076,30.061,31.439,29.818,30.102,30.646,30.892,31.150,28.162,,mtp01_20220323_162410.bmp
40,28.045,29.780,30.054,30.755,31.414,31.465,31.086,32.669,32.621,32.621,31.497,30.968,28.083,28.952,30.080,29.401,29.971,30.328,31.414,31.838,31.290,32.363,31.338,28.363,27.264,28.838,30.182,30.551,28.328,29.838,29.427,29.185,31.096,30.318,31.223,28.717,27.510,28.360,30.379,28.920,28.322,28.621,30.025,30.201,29.290,30.156,32.089,29.115,26.873,29.146,30.334,29.955,28.799,28.726,30.264,30.057,30.185,32.640,30.468,28.207,28.975,29.831,32.061,30.076,29.723,28.841,28.857,29.500,30.427,30.146,31.264,30.000,28.866,29.261,30.401,29.694,30.395,29.860,30.494,29.605,29.815,31.834,31.341,29.522,26.908,29.646,29.758,30.089,29.879,31.653,29.790,30.064,30.322,30.761,30.997,28.252,,mtp01_20220323_164411.bmp
60,28.404,30.436,30.424,30.904,31.768,31.140,31.385,32.691,32.038,32.701,31.822,31.430,28.073,29.357,30.322,29.452,30.010,30.213,31.236,31.755,31.232,31.831,30.927,28.484,27.417,29.013,30.433,30.882,28.385,29.997,29.436,29.111,31.010,30.433,31.073,28.596,27.640,28.449,30.685,29.137,28.551,28.809,30.102,30.038,29.341,30.315,32.006,29.328,27.092,29.561,30.522,30.029,29.226,29.000,30.293,29.783,30.207,33.003,30.137,27.831,28.984,30.178,32.061,30.045,29.866,28.914,28.847,29.516,30.589,30.468,31.252,29.990,28.793,29.500,30.742,29.624,30.646,30.369,30.739,29.688,30.535,31.790,31.602,29.210,27.401,29.694,29.850,30.382,29.895,31.497,29.914,30.264,30.592,31.121,31.162,28.357,,mtp01_20220323_170410.bmp
80,27.997,29.586,30.073,30.557,30.624,30.602,30.236,31.787,30.914,31.596,30.685,30.350,27.073,27.895,29.379,28.204,29.048,29.239,30.449,30.672,30.140,31.338,29.895,27.771,26.567,28.006,29.643,30.258,27.420,28.914,28.656,28.561,29.955,29.557,29.968,27.994,27.045,27.417,29.561,28.268,27.857,27.662,29.748,28.965,28.653,29.299,30.694,28.618,26.296,28.962,29.557,29.169,28.210,28.338,29.376,29.051,29.258,31.793,29.430,27.229,28.599,29.258,31.220,29.268,28.580,28.334,27.863,28.710,29.885,29.392,30.436,29.153,28.229,28.869,29.803,28.436,29.290,29.382,29.713,28.822,29.408,30.943,30.685,28.252,26.873,29.277,29.102,29.283,28.847,30.513,29.248,29.204,29.631,29.920,30.389,28.258,,mtp01_20220323_172411.bmp
100,28.166,29.529,29.490,30.618,30.411,30.481,29.917,31.987,31.099,31.239,30.500,30.245,26.831,27.624,29.096,27.962,28.796,28.959,29.895,30.439,30.207,30.860,29.646,27.583,26.268,28.086,29.347,29.809,27.331,28.624,28.369,27.943,30.025,29.178,29.771,27.841,26.704,27.185,29.252,28.048,27.815,27.427,28.605,28.694,28.156,29.010,30.809,28.277,26.000,28.783,29.166,28.592,27.892,27.990,29.178,28.637,28.946,31.274,29.121,26.879,28.318,29.080,30.981,29.226,28.322,27.745,27.605,28.596,29.752,29.220,30.331,28.994,27.662,28.608,29.519,28.102,29.185,28.838,29.710,28.602,29.080,30.675,30.475,27.975,26.857,28.752,28.847,29.006,28.729,30.178,28.818,28.895,29.624,29.869,30.061,28.373,,mtp01_20220323_174410.bmp
120,28.465,29.395,29.605,30.258,30.640,30.334,30.232,31.968,30.834,31.331,30.408,30.481,26.793,27.748,29.131,28.076,28.873,28.895,29.965,30.745,30.131,30.678,29.857,27.541,26.150,28.048,29.271,29.637,27.398,28.666,28.354,28.115,29.962,29.328,29.968,27.812,26.729,27.169,29.124,28.038,27.736,27.519,29.054,28.726,28.350,29.111,30.892,28.439,25.924,28.653,29.338,28.516,27.920,28.048,29.261,28.605,29.054,31.599,29.010,26.653,28.092,28.917,30.866,29.223,28.357,27.854,27.494,28.436,29.739,29.188,30.264,29.035,27.414,28.707,29.535,28.102,29.140,28.892,29.204,28.704,29.252,30.723,30.506,28.045,27.019,28.736,28.949,29.035,28.516,30.239,29.041,28.968,29.885,29.736,30.006,28.433,,mtp01_20220323_180411.bmp
140,28.420,29.475,29.975,30.210,30.497,30.191,30.376,31.841,30.914,31.277,30.430,30.373,26.720,27.602,29.000,27.955,28.796,28.857,29.844,30.640,30.003,30.634,29.701,27.503,26.127,28.118,29.162,29.777,27.354,28.586,28.369,28.041,29.904,29.239,29.771,27.672,26.704,27.191,29.150,27.869,27.567,27.115,28.806,28.758,28.121,29.016,30.774,28.548,25.911,28.436,29.169,28.497,27.831,28.414,29.108,28.611,29.000,31.449,29.003,26.694,27.962,28.793,30.710,29.108,28.392,27.685,27.334,28.420,29.535,29.121,30.255,29.054,27.433,28.551,29.369,27.971,29.054,28.758,29.032,28.586,28.975,30.669,30.395,27.946,26.946,28.646,28.777,28.968,28.478,30.175,28.780,28.815,29.513,29.755,30.105,28.420,,mtp01_20220323_182410.bmp
160,28.389,29.624,29.615,29.981,30.490,30.185,30.089,31.882,30.815,31.111,30.204,30.102,26.653,27.643,28.822,27.981,28.685,28.901,29.764,30.662,29.965,30.599,29.739,27.354,26.127,27.994,29.369,29.774,27.280,28.439,28.446,28.105,29.933,29.248,29.815,27.624,26.605,27.073,28.943,27.774,27.608,27.331,28.468,28.882,28.166,29.048,30.723,28.226,25.828,28.433,29.105,28.675,27.678,28.806,28.943,28.465,29.010,31.357,28.761,26.729,27.997,28.745,30.685,28.908,28.347,27.669,27.376,28.532,29.567,29.083,30.182,28.895,27.293,28.360,29.213,28.010,29.137,28.726,28.866,28.503,28.854,30.475,30.315,27.818,26.959,28.599,28.732,28.908,28.379,30.118,28.755,28.815,29.497,29.955,29.889,28.519,,mtp01_20220323_184412.bmp
180,28.268,29.293,29.516,29.971,30.395,30.102,29.949,31.752,30.688,31.003,30.303,30.057,26.471,27.475,28.643,27.898,28.525,28.834,29.691,30.538,29.936,30.436,29.627,27.360,25.962,28.048,29.051,29.516,27.309,28.424,28.252,28.099,29.771,29.096,29.596,27.662,26.519,26.975,28.955,27.717,27.570,27.325,28.666,28.755,28.086,28.971,30.411,28.166,25.755,28.150,29.045,28.570,27.586,28.592,28.955,28.427,28.796,31.322,28.869,26.678,27.758,28.586,30.516,28.873,28.223,27.608,27.357,28.264,29.484,28.990,29.955,28.911,27.137,28.427,29.239,27.984,28.911,28.771,28.904,28.357,28.803,30.398,30.264,27.713,26.736,28.551,28.583,28.914,28.398,30.169,28.742,28.768,29.309,29.860,29.917,28.449,,mtp01_20220323_190411.bmp
200,28.392,29.516,29.815,29.825,30.519,30.131,30.070,31.831,30.691,31.217,30.303,30.143,26.605,27.551,28.787,27.981,28.669,28.920,29.732,30.481,29.911,30.656,29.529,27.465,26.153,27.939,29.166,29.315,27.245,28.404,28.271,28.172,29.799,29.118,29.707,27.615,26.659,27.070,29.045,27.678,27.535,27.080,28.318,28.653,28.070,28.939,30.602,28.127,25.920,28.153,29.099,28.516,27.519,28.573,29.051,28.408,28.825,31.369,28.777,26.596,27.761,28.564,30.557,28.876,28.309,27.723,27.446,28.006,29.427,29.207,30.035,28.962,27.105,28.427,29.159,27.860,28.927,28.739,28.854,28.439,28.924,30.532,30.350,27.924,26.857,28.510,28.637,28.854,28.529,30.076,28.796,28.675,29.404,29.809,29.847,28.471,,mtp01_20220323_192411.bmp
220,28.608,29.618,29.529,29.780,30.510,30.369,30.236,31.987,30.739,31.143,30.427,30.016,26.682,27.573,28.803,28.035,28.701,28.949,29.646,30.529,29.901,30.742,29.611,27.369,26.067,28.089,29.194,29.328,27.229,28.510,28.382,28.427,29.787,29.134,29.717,27.538,26.723,27.041,29.041,27.659,27.631,27.080,29.029,28.618,28.083,28.927,30.831,28.217,25.847,27.949,29.166,28.634,27.634,28.277,28.952,28.459,28.939,31.580,28.955,26.723,27.822,28.602,30.662,28.869,28.401,27.783,27.408,28.057,29.510,29.080,30.156,28.952,27.226,28.659,29.236,27.723,29.067,28.857,28.895,28.545,29.032,30.643,30.522,28.019,26.904,28.459,28.748,28.844,28.500,30.064,28.920,28.860,29.392,29.825,29.981,28.510,,mtp01_20220323_194411.bmp
