File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220627_103947
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,41.241,40.025,37.747,35.876,35.753,40.271,38.841,39.422,35.482,34.861,34.680,36.931,35.839,40.149,35.735,35.447,37.290,40.157,37.420,33.680,35.635,38.808,37.041,38.055,36.347,41.784,34.157,34.861,32.576,37.457,34.414,31.488,32.825,32.320,35.200,34.569,35.043,37.731,41.253,35.498,32.633,37.402,33.804,35.441,32.902,31.996,40.880,33.953,40.224,36.002,36.812,38.771,35.078,40.098,34.033,32.061,34.282,32.173,29.784,33.875,37.014,39.676,34.845,38.298,33.337,33.241,35.278,33.427,37.590,31.816,39.424,39.633,38.406,35.396,38.143,37.924,40.820,41.535,36.388,36.937,35.320,31.912,34.251,34.855,35.439,38.941,38.792,39.737,40.229,38.820,38.020,42.418,34.857,38.020,34.759,32.841,,mtp01_20220627_103947.bmp
20.75,38.188,41.000,38.959,35.961,35.949,34.882,35.335,37.194,34.643,35.122,34.384,37.973,35.178,38.361,36.931,35.675,36.639,40.035,37.516,33.741,34.894,32.320,33.884,34.916,36.629,38.255,33.804,35.025,32.508,36.878,35.114,31.378,32.735,32.202,34.059,33.365,34.361,35.645,36.549,35.333,32.869,39.851,33.861,35.541,32.886,31.449,36.602,33.310,36.312,36.006,36.739,36.629,35.147,40.575,34.327,32.078,33.753,32.310,29.798,34.427,37.069,37.737,34.755,35.971,33.475,32.349,35.222,32.769,34.008,30.431,30.808,37.747,35.453,34.625,37.792,38.351,35.853,34.298,38.606,37.665,33.890,31.286,33.422,34.453,35.273,37.439,38.445,39.837,39.939,38.449,37.729,37.065,34.873,34.363,34.898,33.124,,mtp01_20220627_110025.bmp
40.75,37.773,41.486,41.122,36.041,34.600,35.306,37.914,37.963,35.306,34.875,34.951,38.853,35.592,37.755,35.776,35.794,35.796,40.325,37.710,33.912,33.984,33.767,33.833,36.355,36.202,37.063,34.108,35.300,32.743,37.024,36.398,31.475,32.808,32.373,32.049,34.575,34.343,34.798,36.588,35.780,32.843,46.147,34.096,36.755,33.027,31.702,35.229,33.196,34.798,36.369,36.478,37.104,35.508,41.057,34.592,32.210,33.418,32.867,29.945,32.925,37.010,36.065,34.745,35.888,33.904,32.380,35.514,31.110,33.816,30.590,30.778,35.369,35.363,34.551,36.757,37.710,35.488,34.606,38.002,34.624,33.782,31.786,33.537,34.657,35.090,37.441,37.169,36.931,39.782,38.904,38.806,36.767,34.898,35.792,35.276,33.322,,mtp01_20220627_112025.bmp
60.75,38.641,42.433,41.098,36.271,35.669,35.686,38.537,37.082,35.992,35.006,35.286,38.078,36.047,36.369,36.206,36.363,36.408,40.835,38.424,34.663,34.665,33.216,34.273,37.288,36.784,37.604,34.792,36.306,33.269,38.012,37.208,32.114,33.425,33.269,32.525,35.296,35.037,35.500,37.010,36.284,33.433,49.261,34.998,36.804,33.751,32.580,35.702,34.088,35.141,37.420,37.512,36.900,36.386,42.025,35.251,32.908,34.029,33.629,30.467,32.735,38.186,36.190,35.247,36.529,34.018,32.996,36.043,31.684,34.486,31.280,31.657,34.780,35.892,35.176,37.731,37.496,36.102,35.116,37.694,35.663,34.371,32.518,34.269,35.112,35.337,37.920,37.876,37.551,40.457,39.916,40.004,37.433,35.339,34.957,36.000,32.871,,mtp01_20220627_114025.bmp
80.75,39.016,43.325,42.404,36.637,36.069,36.375,38.518,37.159,36.904,35.437,35.602,37.873,36.978,36.020,37.653,37.004,37.184,41.300,39.416,35.253,35.486,34.024,34.841,37.698,37.514,38.773,35.551,37.371,33.939,38.606,38.304,33.035,34.031,33.957,33.247,35.661,35.837,36.394,37.004,36.925,34.194,51.167,35.537,37.586,34.696,33.543,36.359,33.759,36.022,38.373,38.129,37.345,37.300,42.947,36.237,33.835,34.382,34.143,30.457,33.222,38.755,37.351,35.729,37.075,34.373,33.710,36.837,32.339,34.992,31.610,32.363,35.300,36.722,35.904,38.547,37.975,36.976,35.733,38.729,36.137,35.175,32.896,34.567,36.475,35.024,39.120,38.296,38.382,40.700,40.667,40.780,38.249,35.961,35.588,36.773,33.496,,mtp01_20220627_120025.bmp
100.75,40.820,45.151,43.088,37.690,37.549,37.506,38.163,37.806,38.396,36.275,36.567,38.200,38.624,36.216,38.590,38.165,38.447,42.418,40.765,36.351,36.876,34.935,36.263,39.141,39.347,40.922,37.008,39.059,35.135,39.637,39.322,34.129,35.173,35.333,34.135,38.582,37.445,37.663,38.025,37.747,35.053,53.402,36.624,38.271,36.029,35.014,37.345,34.825,37.245,40.041,40.186,38.143,38.859,44.459,37.561,34.906,35.100,35.222,31.751,34.200,39.839,38.847,37.024,38.527,34.296,34.761,38.329,33.320,35.933,32.461,33.951,36.239,38.176,37.706,39.494,39.329,38.253,36.849,40.835,36.543,36.580,34.135,35.314,38.941,35.245,41.898,40.157,39.665,41.139,41.984,42.100,39.686,36.967,36.543,37.602,34.173,,mtp01_20220627_122025.bmp
120.75,43.978,46.986,44.176,38.900,39.773,39.253,37.902,38.694,40.147,37.547,38.122,38.880,40.455,36.176,40.020,39.708,40.414,43.590,42.557,37.857,38.671,36.212,37.504,40.759,41.022,43.406,38.859,41.537,36.612,41.227,40.853,36.020,36.212,37.039,35.618,39.363,39.192,38.896,39.588,39.202,36.361,55.363,38.182,39.637,37.567,36.788,38.443,36.759,38.996,42.324,42.531,39.375,40.586,46.441,39.525,35.427,36.443,36.539,33.161,36.071,41.710,41.190,38.333,40.324,34.880,36.275,40.371,34.982,37.312,33.855,35.357,37.747,40.067,39.535,41.253,40.875,39.751,38.390,43.708,38.184,38.080,35.082,36.729,41.986,35.394,44.396,42.076,41.508,41.620,43.398,43.800,41.439,38.382,38.047,39.041,36.271,,mtp01_20220627_124026.bmp
140.75,49.775,48.149,42.424,40.639,41.776,41.055,37.671,39.975,42.343,35.455,37.775,39.743,42.524,36.753,41.724,41.406,42.612,45.490,44.084,37.951,40.773,38.453,38.963,43.253,43.247,46.478,41.194,44.098,37.731,41.998,42.492,38.180,36.684,37.737,37.057,41.955,41.529,41.247,41.469,40.876,38.065,56.504,39.684,37.120,39.175,38.667,39.816,38.896,40.888,44.449,44.890,40.755,42.527,48.702,40.298,31.882,37.920,38.214,34.765,38.037,44.214,43.098,39.916,42.273,35.065,38.300,42.400,36.700,38.935,35.145,34.124,39.633,42.057,41.837,43.043,42.959,41.506,40.088,46.725,39.863,39.918,36.741,38.129,45.214,35.116,47.678,44.669,43.704,42.161,45.529,45.473,43.469,39.978,39.567,40.710,37.494,,mtp01_20220627_130026.bmp
160.75,62.280,42.576,39.904,43.033,43.918,42.782,37.829,40.218,44.916,32.565,33.857,41.606,44.598,37.575,43.627,40.467,44.920,43.565,40.588,33.608,42.965,40.443,40.159,44.914,45.863,49.780,43.549,45.294,34.737,38.106,39.245,40.443,32.655,32.504,39.116,44.586,44.280,43.153,43.451,42.422,39.625,58.312,37.994,35.484,38.355,38.151,41.602,41.082,43.049,46.996,47.816,42.127,44.194,50.241,34.669,31.616,40.506,40.035,36.692,40.116,47.316,45.963,42.082,44.478,35.092,40.492,44.173,38.673,40.714,36.635,29.922,41.675,44.463,44.029,45.510,45.457,43.424,42.069,50.378,42.929,41.990,38.251,39.743,48.514,35.300,51.084,46.945,45.788,42.806,47.890,47.641,45.449,41.831,41.461,42.357,38.675,,mtp01_20220627_132027.bmp
180.75,76.867,41.641,38.622,44.555,45.851,43.053,37.118,36.657,46.724,32.376,34.975,43.073,45.571,38.945,46.120,34.829,46.747,40.102,37.116,33.069,44.447,42.122,41.486,42.227,47.906,52.676,45.549,37.824,32.157,36.353,36.441,42.420,32.037,31.508,40.920,46.980,46.557,44.896,45.294,40.165,37.855,58.810,33.616,35.224,32.718,32.120,43.035,42.825,44.910,49.022,49.698,43.575,39.122,42.876,34.322,31.518,41.710,41.657,38.171,41.775,50.120,48.975,43.808,46.294,34.147,42.549,37.406,40.518,42.169,37.686,29.529,43.902,46.302,45.680,47.010,47.214,45.306,43.310,53.175,43.990,43.927,39.653,41.457,50.971,34.735,53.673,48.661,47.667,41.629,49.673,49.088,42.849,42.898,43.127,43.927,40.190,,mtp01_20220627_134026.bmp
