File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210126_104026
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"30,473","31,500","32,910","28,992","34,204","29,831","28,798","30,614","40,229","31,624","30,614","32,422","28,792","27,569","27,516","33,137","34,839","31,096","35,737","34,010","31,710","29,641","31,886","27,941","35,439","30,518","34,388","34,178","33,404","34,661","33,814","31,275","28,312","26,633","26,422","35,312","34,190","34,827","27,076","26,069","25,378","25,557","26,833","27,273","26,688","28,671","28,906","27,292","28,249","26,210","26,967","25,833","25,404","25,453","27,055","25,737","27,033","29,737","27,876","30,331","35,169","32,422","30,894","26,159","28,625","26,978","27,596","27,680","28,569","28,586","25,792","26,047","29,220","28,182","30,478","27,412","26,502","27,512","26,441","26,625","27,839","29,853","27,329","27,229","30,673","29,382","29,765","31,398","29,090","29,071","28,398","28,461","28,014","29,147","29,996","30,031"
20,"30,265","31,278","32,986","26,588","35,273","29,600","28,506","29,757","41,163","32,129","30,649","32,561","28,827","27,351","27,718","35,000","26,937","31,722","37,043","35,739","31,873","29,359","33,796","28,006","37,275","28,975","35,771","33,729","28,920","33,451","29,792","32,031","28,943","26,600","26,367","36,233","35,508","36,292","26,247","25,973","25,496","25,286","27,041","25,910","26,857","28,745","29,445","27,059","28,649","24,884","27,231","25,780","25,388","25,271","25,325","25,580","25,655","26,920","28,231","31,102","36,496","33,310","30,225","25,982","29,031","26,092","26,780","27,694","26,490","28,486","25,771","25,700","28,927","28,363","31,029","27,171","26,331","27,627","25,969","25,753","27,092","30,039","27,000","26,824","30,969","29,661","29,482","31,829","28,804","28,996","28,127","28,175","27,918","28,845","29,941","29,863"
40,"30,782","31,853","33,959","26,841","36,216","30,206","28,773","28,435","41,680","32,157","30,988","33,267","29,110","27,616","26,320","30,929","27,196","29,508","34,671","36,610","32,824","29,571","35,618","28,404","38,667","27,278","35,049","32,859","29,071","35,012","27,665","31,692","29,912","27,031","26,543","37,590","35,661","34,322","26,331","26,122","24,749","25,533","26,735","25,945","25,871","28,957","30,235","27,459","29,633","25,133","27,473","26,029","25,631","25,539","25,633","25,729","26,088","27,304","28,753","31,957","31,565","35,237","30,092","26,282","26,451","25,943","25,831","28,176","26,882","26,822","26,018","25,894","29,261","29,002","31,541","27,584","26,686","27,710","26,010","25,884","26,631","29,859","27,071","27,053","31,704","30,347","29,939","32,678","29,416","29,167","27,682","28,276","28,029","29,153","30,214","30,020"
60,"30,863","32,384","33,033","26,459","35,841","29,967","28,573","28,188","40,357","32,214","30,800","32,753","29,120","27,690","26,002","30,416","27,004","28,884","29,100","37,165","32,704","29,490","35,914","28,231","38,945","27,229","31,590","30,557","26,076","30,863","26,924","31,655","30,094","26,867","26,265","36,943","36,137","34,406","26,065","26,053","24,290","24,478","26,890","25,700","25,757","29,071","30,504","27,314","29,696","23,943","27,522","25,833","25,065","25,390","25,376","25,435","25,690","26,831","28,853","32,176","31,745","28,098","29,553","25,614","26,324","25,529","25,529","26,927","26,741","26,592","25,584","25,500","29,012","28,871","31,445","26,345","26,253","27,043","25,833","25,600","26,443","28,671","26,906","26,690","31,290","30,057","29,729","28,265","28,618","28,731","27,427","27,829","27,557","28,822","29,943","29,714"
80,"31,282","33,249","33,314","26,555","35,135","29,980","28,671","28,147","42,024","32,396","31,082","32,510","29,925","28,508","26,210","30,914","27,094","29,404","26,129","33,908","32,818","29,743","36,210","28,714","40,184","27,580","31,698","29,022","24,835","30,951","26,869","31,871","30,931","27,210","26,624","36,969","36,092","32,298","26,251","26,220","24,563","24,586","26,604","25,880","25,939","29,325","30,437","27,420","29,733","24,108","27,449","26,073","25,241","25,653","25,359","25,618","25,847","27,157","28,663","32,008","31,755","28,402","28,800","25,710","26,575","25,573","25,851","27,373","26,939","26,825","25,824","25,745","29,194","28,912","31,935","26,688","26,724","27,345","25,941","25,835","26,545","29,029","27,163","26,851","31,586","30,620","29,012","28,453","29,035","28,888","27,651","28,118","27,996","29,196","30,294","29,947"
100,"32,312","35,516","33,916","26,759","35,729","30,469","28,898","28,375","41,920","32,743","31,222","33,298","31,076","29,463","26,392","31,133","27,284","29,429","26,218","34,973","33,194","30,169","35,804","28,294","41,269","28,561","32,139","29,143","25,061","27,361","26,869","32,488","30,612","27,425","26,784","37,590","36,892","33,078","26,353","26,080","24,316","24,541","26,688","25,800","25,784","29,769","31,039","27,580","30,802","24,110","27,802","26,220","25,176","25,451","25,294","25,633","25,835","27,039","28,914","32,920","30,451","28,749","29,237","25,510","26,578","25,404","25,761","25,986","27,059","26,855","25,967","25,931","29,345","29,578","32,067","26,727","26,816","27,343","25,888","25,778","26,565","29,039","27,084","27,008","31,990","30,567","27,761","28,573","29,006","28,998","27,569","28,051","27,859","29,220","30,351","30,318"
120,"33,271","37,598","34,445","26,780","35,606","30,490","28,829","28,129","41,775","32,906","31,257","33,424","32,798","31,118","26,467","31,410","27,414","29,651","26,200","34,973","33,212","30,137","36,033","28,369","42,227","29,637","32,386","29,349","25,004","27,190","26,865","32,300","30,571","27,545","26,810","37,863","37,525","33,443","26,380","26,039","24,280","24,635","26,725","25,663","25,818","29,902","31,202","27,784","31,547","24,163","27,875","26,276","25,278","25,467","25,455","25,635","25,927","27,110","29,029","31,110","30,961","28,986","29,198","25,361","26,682","24,569","25,755","25,939","27,186","26,782","26,022","25,839","29,722","29,802","32,171","26,916","26,708","27,033","25,859","25,892","26,612","29,078","27,120","26,986","32,063","30,635","27,886","28,863","29,033","29,073","27,516","28,196","27,682","29,220","30,331","30,657"
140,"34,451","41,898","34,863","26,710","35,588","30,265","28,653","28,231","42,455","32,904","31,622","33,229","35,578","33,692","26,724","26,469","25,665","29,775","26,306","34,775","33,012","30,294","35,833","28,439","44,076","30,967","32,422","29,669","25,200","27,324","26,835","32,186","30,839","27,802","27,000","37,510","38,620","34,345","26,445","26,237","24,476","24,606","26,629","25,798","25,957","29,990","31,061","27,492","32,149","24,141","27,525","26,322","25,318","25,490","25,057","25,610","25,859","27,086","28,637","30,622","31,849","29,280","29,100","25,504","26,545","24,682","25,829","26,029","26,388","26,912","26,143","25,957","30,045","29,692","31,988","27,239","26,822","26,861","25,949","26,020","26,912","29,175","27,098","27,192","31,820","30,904","28,080","29,116","29,235","29,269","27,747","28,376","28,025","29,386","30,447","30,963"
160,"37,045","47,145","35,957","26,569","35,620","30,575","28,612","28,173","42,400","33,333","31,918","33,631","40,110","37,649","26,951","26,710","26,012","29,982","26,510","34,635","33,025","30,571","35,971","28,582","47,024","33,563","32,249","30,247","25,533","27,318","26,953","32,539","30,910","28,288","27,204","37,771","41,384","32,971","26,569","25,669","24,337","24,565","26,616","25,694","25,880","30,371","30,955","27,622","33,941","24,261","27,800","26,359","25,400","25,627","24,953","25,006","25,102","27,267","28,661","30,765","32,969","29,884","28,998","25,688","26,529","24,720","25,837","26,102","26,575","26,880","26,245","26,024","30,771","30,002","32,212","27,722","27,045","27,290","26,027","26,192","27,047","29,225","27,276","27,465","31,775","30,943","28,253","29,653","29,194","29,557","27,802","28,304","28,037","29,675","30,573","31,445"
180,"41,314","49,967","37,525","26,604","36,792","31,165","28,818","28,180","41,375","34,049","32,265","34,388","44,655","40,325","27,478","27,006","26,406","30,324","26,645","35,308","33,388","30,980","36,316","28,737","47,316","36,222","32,578","30,410","25,706","27,294","27,155","32,675","30,786","28,665","27,661","38,235","40,598","34,139","26,798","25,780","24,359","24,637","26,673","25,575","25,775","31,088","31,333","28,086","36,880","24,351","27,943","26,620","25,359","25,478","24,749","24,955","25,082","27,200","28,994","31,290","35,225","30,580","29,320","25,584","26,555","24,780","25,786","26,131","26,139","26,831","26,375","26,045","31,724","30,637","32,516","28,320","27,124","27,388","26,045","26,514","27,169","29,175","27,355","27,729","32,029","31,337","28,510","30,263","29,253","29,865","27,671","27,918","27,973","29,863","30,502","31,725"
