File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210128_121107
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"29,594","28,688","31,976","30,176","36,992","32,192","39,463","35,557","37,784","29,441","28,422","28,008","29,639","31,827","28,873","34,024","36,537","33,886","36,120","35,990","31,929","28,210","31,951","35,059","36,192","30,375","27,812","32,237","25,253","29,908","26,261","26,027","27,496","27,467","26,445","34,555","32,786","32,933","28,512","29,518","26,425","38,790","25,720","26,665","28,892","25,755","31,333","27,643","26,873","24,761","27,284","26,398","25,253","28,575","24,639","27,127","25,508","27,161","29,137","28,118","29,341","28,220","28,863","26,331","25,327","26,331","27,118","26,975","25,831","26,331","30,149","26,231","28,410","38,984","35,096","33,010","27,949","26,227","29,941","27,637","33,937","29,739","32,086","29,937","31,029","28,308","29,186","27,043","28,212","27,622","30,247","27,290","28,408","28,575","29,141","30,251"
20,"29,927","28,731","30,669","29,459","38,476","30,014","41,916","36,547","39,367","29,733","28,359","27,902","29,865","31,490","27,216","36,527","32,816","33,822","37,249","36,876","35,482","28,386","33,155","36,943","38,259","27,649","27,886","26,541","25,259","25,955","25,269","26,384","28,047","27,980","26,580","35,835","33,814","29,376","27,651","25,622","25,694","41,488","24,080","26,424","26,855","25,973","33,016","28,145","27,033","25,008","27,747","26,635","25,847","26,947","24,625","26,990","25,524","26,900","30,167","28,714","29,588","27,869","26,731","26,347","24,986","27,041","27,498","25,171","25,922","26,575","31,522","26,225","28,427","41,165","37,129","33,390","27,508","26,504","30,784","26,447","31,810","29,433","32,167","30,900","31,500","28,124","29,135","26,953","28,578","27,743","30,700","27,341","28,355","28,696","29,235","30,265"
40,"30,075","28,965","30,531","27,475","35,529","30,039","43,259","35,139","40,831","29,163","28,212","27,963","30,208","30,547","27,073","31,202","33,398","31,363","33,843","37,165","35,649","28,927","33,037","37,308","39,418","26,855","27,975","25,220","25,212","24,445","25,082","26,414","28,547","28,371","26,622","36,057","34,886","25,496","27,725","25,757","23,980","28,561","24,114","25,755","26,765","26,106","32,125","28,531","25,853","24,157","26,247","24,912","25,214","25,978","24,890","27,459","25,588","25,975","30,890","29,139","29,931","28,284","26,682","25,496","25,053","26,355","26,473","25,363","25,982","26,598","31,259","26,208","28,541","42,088","34,069","28,165","27,694","26,102","29,196","26,382","27,665","28,918","32,929","31,649","31,686","28,178","29,431","26,908","28,253","27,643","29,700","27,439","28,151","28,598","29,147","30,143"
60,"30,443","29,337","29,314","26,455","35,643","27,822","42,743","35,761","40,163","29,861","28,090","27,878","30,765","31,316","27,371","30,388","33,476","29,247","28,110","39,371","35,778","29,527","33,433","38,302","35,402","26,824","27,594","25,384","25,229","24,437","25,210","26,380","29,241","28,816","26,841","37,129","31,392","25,565","27,624","25,739","23,931","27,280","24,024","25,586","26,924","26,133","32,665","28,580","25,437","24,065","26,269","24,949","24,300","24,737","24,935","24,763","25,425","26,022","31,137","29,439","29,512","26,663","26,363","25,614","25,092","26,247","25,833","25,265","26,094","26,539","32,376","26,271","28,480","42,590","35,298","28,347","27,861","26,106","27,441","26,363","27,888","28,667","33,931","31,561","31,598","28,088","29,580","26,996","28,322","27,508","30,125","27,467","28,161","28,712","29,227","30,243"
80,"30,673","30,286","29,439","26,639","35,941","28,004","42,255","36,320","40,608","30,008","28,180","27,927","31,443","32,049","27,284","30,676","30,216","29,661","27,675","40,186","38,396","29,822","32,229","38,637","33,643","26,880","26,794","25,290","25,392","24,388","25,057","26,094","29,537","28,971","26,965","36,829","32,010","25,484","27,639","25,788","23,825","27,271","23,933","25,529","26,251","26,175","33,194","28,604","25,404","23,931","26,298","24,745","24,251","24,708","24,773","24,669","24,751","25,982","29,088","29,724","29,841","26,598","26,400","25,624","24,973","25,106","25,692","25,335","24,920","26,516","27,829","26,345","28,580","42,437","33,073","28,451","27,671","26,167","27,451","25,543","27,947","28,555","34,388","31,869","31,696","28,155","29,757","26,955","28,331","27,551","30,306","27,435","28,004","28,759","29,224","30,292"
100,"30,806","31,492","29,188","26,822","35,816","27,467","41,290","35,296","40,345","29,249","28,351","27,773","31,924","31,718","26,790","30,316","29,855","28,465","27,014","35,027","36,471","29,180","32,802","37,525","34,231","26,916","26,535","25,376","24,147","24,137","24,931","25,788","28,933","28,280","26,612","36,482","32,394","25,686","27,547","25,643","23,592","27,012","23,694","25,437","25,337","26,173","32,459","28,333","25,437","23,876","26,092","24,598","24,325","24,525","24,765","24,733","24,422","25,888","28,608","28,951","27,588","26,318","26,475","25,596","24,953","25,208","25,437","25,125","24,914","26,400","26,912","26,122","28,433","44,869","32,718","26,553","27,145","26,059","27,080","25,433","27,820","28,139","29,373","31,673","31,435","28,012","29,457","26,902","28,173","27,569","28,651","27,382","27,882","28,733","29,024","30,357"
120,"32,075","34,220","29,202","27,267","35,927","28,043","41,867","33,918","41,076","29,961","28,580","28,227","34,257","33,292","27,180","27,716","30,424","29,169","27,145","29,741","37,016","30,233","32,780","39,208","35,557","27,684","26,661","25,547","24,167","24,388","25,255","26,088","26,614","29,131","27,020","37,345","31,541","25,025","27,757","25,584","23,480","27,429","23,898","25,496","25,490","26,231","33,624","28,925","25,708","24,045","26,129","24,749","24,206","24,571","24,900","24,498","24,543","25,878","29,304","29,851","27,969","26,398","26,518","25,625","25,088","24,835","25,524","25,331","25,047","26,488","27,665","26,359","28,933","43,669","32,812","26,971","27,802","26,049","26,537","25,657","27,933","28,527","29,751","32,553","30,369","28,331","29,896","27,165","28,261","27,724","28,927","27,686","27,955","28,961","29,202","30,939"
140,"33,553","38,822","29,643","28,022","35,959","28,131","41,943","34,186","41,341","30,355","28,775","28,522","37,027","34,341","27,382","27,876","30,498","29,257","27,253","29,518","37,104","30,469","32,600","39,504","37,463","28,329","26,661","25,420","24,173","24,298","25,163","26,025","26,706","29,480","27,145","37,522","32,433","24,965","27,878","25,665","23,633","26,124","23,833","25,416","25,453","26,324","33,757","29,122","26,088","23,976","26,290","24,675","24,224","24,492","24,765","24,596","24,535","25,753","29,527","30,116","28,198","26,555","26,392","24,859","25,024","24,761","25,498","25,239","25,131","26,457","27,712","26,298","29,343","40,763","32,378","27,280","27,788","26,265","26,608","25,780","28,100","28,557","29,776","32,729","30,343","28,629","30,035","27,573","28,492","27,925","29,027","27,910","27,988","29,269","29,320","31,743"
160,"36,153","45,937","30,412","29,425","35,904","28,345","41,906","34,080","39,892","31,014","29,178","29,045","42,192","36,302","27,520","28,014","30,520","29,733","27,498","29,610","37,375","30,839","33,065","39,565","40,520","29,396","26,722","25,714","24,214","24,412","25,255","26,071","26,657","29,880","27,306","37,618","33,871","25,669","28,106","25,737","23,535","26,349","23,710","25,304","25,390","26,359","33,714","29,124","26,680","24,037","26,129","24,794","24,416","24,492","24,810","24,445","24,584","25,747","28,141","30,212","28,759","26,900","26,590","24,861","24,924","24,857","25,596","25,227","25,555","26,502","27,743","26,363","30,141","40,992","32,584","27,729","27,851","26,437","26,625","25,924","28,137","28,792","29,878","33,080","30,335","29,108","30,371","28,039","28,629","28,496","29,008","28,478","27,929","29,696","29,571","33,078"
180,"40,261","51,194","32,320","31,741","36,259","29,016","42,210","35,031","35,959","32,580","30,159","30,188","49,312","39,747","28,076","28,508","30,975","30,584","28,331","30,322","37,514","31,231","33,873","38,973","45,931","31,900","26,859","26,625","24,449","24,629","25,625","26,200","26,925","30,312","27,702","37,653","35,959","27,114","28,512","25,871","23,753","26,406","23,818","25,624","25,441","26,680","33,788","29,412","27,876","24,447","26,422","25,165","24,653","24,663","24,955","24,696","24,875","26,075","27,959","29,798","30,000","27,512","27,163","25,214","25,029","25,231","25,975","25,490","26,263","26,678","28,257","26,700","31,369","40,990","34,100","29,002","28,359","27,059","26,963","26,612","28,706","29,112","30,096","32,784","30,227","30,292","31,180","29,437","29,306","29,606","29,449","29,625","28,294","30,945","30,141","35,445"
