File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220404_152700
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,35.645,34.176,32.992,32.108,32.533,32.773,32.631,31.006,32.941,29.922,32.014,30.222,35.398,34.788,32.851,35.410,35.037,34.680,35.565,33.957,32.131,30.996,29.984,29.747,34.686,34.143,35.214,32.439,32.208,33.776,31.569,31.257,31.255,31.388,29.741,29.188,32.694,41.202,35.235,36.343,32.012,33.547,32.729,32.849,31.135,31.551,28.682,29.524,33.529,36.037,36.227,37.349,36.629,43.218,34.747,31.943,30.816,35.767,30.194,29.857,37.369,33.551,36.041,41.890,33.539,33.037,34.208,32.990,31.322,30.718,30.371,29.229,43.488,38.488,46.818,37.653,36.116,34.804,33.808,31.878,34.071,30.073,31.737,32.096,37.355,44.471,35.851,34.686,32.773,34.125,33.771,33.578,33.988,31.329,32.704,38.175,,mtp01_20220404_152700.bmp
20,35.576,33.739,32.690,30.882,31.329,31.314,32.180,30.775,30.949,29.857,32.129,30.339,37.496,33.751,32.390,33.641,33.618,34.020,33.851,31.810,31.231,30.061,30.545,29.043,33.208,34.133,33.961,31.420,30.416,32.410,32.661,31.820,31.224,30.278,28.761,29.031,32.127,34.408,35.825,33.443,31.916,31.353,30.727,29.986,33.037,30.853,28.194,28.641,32.586,34.692,37.025,37.131,37.143,38.076,34.492,30.755,30.710,37.667,28.235,30.298,34.929,32.784,34.678,37.169,32.947,32.412,32.396,32.773,30.935,32.471,30.492,29.214,38.975,34.839,38.714,36.731,36.880,35.635,32.322,34.857,34.949,30.131,31.855,30.139,35.271,42.004,33.822,32.947,32.969,35.067,34.120,33.496,32.686,32.151,32.445,37.137,,mtp01_20220404_154703.bmp
40,35.933,34.280,32.722,30.914,31.249,31.235,32.200,30.855,30.684,30.261,32.461,30.724,36.853,33.367,33.178,33.608,33.090,33.753,33.324,31.608,31.935,29.806,29.361,29.175,33.388,34.241,33.267,32.247,30.310,31.339,31.825,30.135,31.102,30.355,29.078,29.216,32.225,33.561,35.212,32.369,31.573,31.469,31.304,31.663,29.945,32.073,28.118,28.820,32.553,34.169,36.033,34.312,36.994,36.341,34.624,30.467,30.502,36.710,28.582,29.759,34.100,32.849,35.029,35.643,32.710,33.700,34.420,30.580,31.680,31.976,30.608,28.892,40.137,33.169,36.171,34.775,36.029,35.159,32.682,31.820,33.392,30.461,31.178,30.469,34.788,39.141,33.739,33.335,33.098,34.243,32.896,34.076,32.459,31.139,32.690,36.875,,mtp01_20220404_160703.bmp
60,36.986,34.451,32.735,31.484,31.582,31.975,32.065,31.000,30.900,30.382,32.263,31.157,35.959,34.200,33.890,33.610,33.180,33.729,33.557,31.667,31.561,30.243,29.833,30.327,33.280,33.939,33.018,31.882,30.261,31.153,30.576,30.482,31.759,30.024,28.431,29.267,32.298,33.749,35.192,32.233,30.941,31.894,31.010,30.063,30.853,30.294,28.653,29.275,32.716,34.445,35.316,34.471,35.875,35.849,35.300,30.708,30.645,34.829,28.706,29.747,34.576,32.835,35.651,34.584,32.435,32.361,32.582,30.125,31.551,30.616,29.712,29.159,38.935,32.947,35.539,35.490,35.188,33.396,34.175,35.006,33.025,30.225,31.106,30.367,34.667,37.359,33.406,32.655,32.394,34.945,33.325,33.457,31.610,31.637,32.784,37.086,,mtp01_20220404_162703.bmp
80,36.551,34.898,33.696,31.280,32.186,31.957,32.475,31.418,31.296,30.712,33.027,31.414,36.067,34.422,33.606,33.631,33.237,34.502,33.545,31.610,31.241,30.133,29.922,29.575,33.618,34.353,32.810,31.553,30.412,31.284,30.461,29.918,31.037,30.869,28.680,29.080,32.718,34.175,33.304,32.357,31.045,31.555,31.661,30.494,30.876,30.525,28.380,28.582,33.231,34.780,35.249,36.669,36.278,40.022,33.908,30.651,30.637,35.261,29.076,29.420,34.439,33.090,34.773,34.955,34.143,32.329,33.449,31.049,32.669,31.414,30.345,29.192,38.949,33.176,36.384,34.729,34.171,33.665,33.267,32.265,33.478,29.965,31.400,30.682,34.814,36.365,34.198,32.627,33.790,34.386,32.855,33.180,31.822,31.612,33.257,37.239,,mtp01_20220404_164703.bmp
100,37.516,35.245,33.669,31.853,32.698,32.539,32.976,31.902,31.535,30.945,33.247,31.916,37.155,34.984,32.833,33.955,33.139,33.982,33.922,31.976,31.255,30.090,30.139,29.894,33.969,34.849,33.033,31.569,30.310,31.500,31.086,29.953,30.927,30.388,28.776,29.708,32.916,34.557,34.425,32.243,31.016,31.237,31.780,30.449,30.865,30.445,28.671,29.478,33.204,34.839,35.512,36.145,35.900,39.151,34.027,30.763,30.743,35.363,28.361,29.898,34.306,33.180,34.900,34.176,32.992,32.700,32.486,30.212,31.329,32.092,30.984,29.355,39.524,33.380,36.308,34.941,34.371,33.788,33.798,32.590,32.894,32.229,31.290,30.061,34.859,35.863,33.925,33.125,33.053,34.302,33.402,34.533,32.108,31.702,33.955,37.688,,mtp01_20220404_170703.bmp
120,36.312,35.865,34.035,32.178,32.912,32.559,33.169,31.735,31.945,31.553,33.325,32.694,38.188,35.786,33.127,34.022,33.659,34.484,34.000,32.331,31.578,30.437,30.053,29.931,34.245,34.696,33.912,31.502,30.439,31.775,30.992,29.535,31.561,30.971,28.590,29.627,33.269,34.684,33.806,32.406,31.422,31.302,31.663,31.251,31.108,30.406,29.025,29.137,33.586,35.131,35.037,35.665,35.841,37.131,35.722,30.731,30.302,35.782,28.480,30.053,34.773,33.349,35.004,34.069,33.433,31.847,32.541,30.790,31.316,32.725,32.533,29.810,39.337,32.855,36.759,34.955,34.314,33.227,32.614,32.890,32.829,30.412,31.400,30.535,35.459,35.151,33.590,32.800,32.641,34.414,34.012,33.573,32.424,32.127,34.280,38.439,,mtp01_20220404_172703.bmp
140,36.980,36.900,34.857,32.729,33.610,33.122,33.941,32.000,32.522,31.902,33.851,33.712,39.269,36.739,33.131,34.867,33.637,33.918,34.631,32.210,31.955,30.820,30.445,30.257,34.545,35.235,33.447,31.447,30.765,31.912,31.100,30.018,31.567,30.120,28.892,29.814,33.753,34.935,34.276,32.255,30.753,31.802,31.582,31.522,30.945,31.398,29.590,29.853,33.549,37.651,34.667,35.027,36.210,38.502,33.925,30.271,31.504,36.006,28.606,31.020,35.075,33.484,34.318,35.078,33.231,31.886,32.839,30.235,32.676,34.363,33.314,29.908,40.745,32.400,37.290,35.284,34.604,33.665,34.486,32.145,34.294,31.614,32.257,29.863,35.127,35.718,33.878,33.108,33.624,35.100,34.849,33.910,32.890,32.769,34.545,38.463,,mtp01_20220404_174704.bmp
160,36.373,38.035,36.169,33.404,34.625,33.645,34.918,32.129,32.951,32.259,34.771,34.137,40.010,38.759,33.161,35.037,34.198,34.602,34.841,32.949,31.622,31.275,30.863,30.547,34.827,35.988,33.759,32.459,31.227,32.516,30.978,30.696,31.490,30.320,29.569,30.241,34.155,35.433,35.129,32.125,31.176,31.967,32.612,32.202,31.029,31.575,30.229,30.535,33.998,35.796,35.682,35.529,36.843,39.249,36.020,31.357,32.641,36.298,30.104,31.353,35.476,33.912,34.645,35.480,33.180,32.655,33.104,30.308,32.239,35.814,33.871,30.400,41.435,32.598,38.380,35.675,34.751,33.667,33.729,32.480,34.053,32.692,31.571,32.002,34.890,35.482,34.506,32.841,32.808,35.839,34.902,34.122,33.763,32.708,35.976,39.018,,mtp01_20220404_180702.bmp
180,37.129,38.543,36.735,34.010,36.294,33.871,35.255,32.890,33.492,33.063,36.012,34.171,41.678,39.541,33.306,35.590,34.384,35.000,35.127,32.908,32.076,31.459,31.125,31.333,34.933,35.312,33.716,31.476,31.002,32.608,31.492,29.857,32.965,30.702,28.835,31.302,34.363,35.784,33.753,32.198,31.122,32.224,31.643,31.410,32.235,32.333,30.561,30.094,33.759,35.665,35.773,36.335,37.418,36.786,34.751,31.514,32.151,36.478,29.353,31.465,36.016,34.014,35.841,34.902,32.908,31.990,33.337,30.718,32.820,37.100,35.255,31.461,42.786,32.545,37.886,35.751,34.376,33.900,34.351,33.388,34.394,33.386,31.345,31.453,35.708,34.961,34.090,32.916,33.039,36.822,36.135,34.459,34.367,33.265,37.110,39.659,,mtp01_20220404_182704.bmp
